tradeoff,trait,wd,sla,hmax,mat,surv_est,surv_lo,surv_hi,growth_est,growth_lo,growth_hi,recr_est,recr_lo,recr_hi
gs,wd,0.305,0,0,5°C,0.9358458168713277,0.8666229377982472,0.9778761424977026,1.9816234637304002,1.359189173398511,2.6996303743772088,NA,NA,NA
gs,wd,0.3511871652224169,0,0,5°C,0.9490684492926216,0.918140318839576,0.9723499441618666,1.7838559500690494,1.431226065779995,2.171810777894379,NA,NA,NA
gs,wd,0.40436860661297414,0,0,5°C,0.9558172003635285,0.9358324657576806,0.971480555580325,1.6338199438086836,1.402566144859096,1.900114261661761,NA,NA,NA
gs,wd,0.4656034906929477,0,0,5°C,0.9598751058681132,0.9427433649506792,0.9733349554532347,1.5127483972805804,1.3219220084861223,1.7416189985121677,NA,NA,NA
gs,wd,0.5361113770954697,0,0,5°C,0.9626260642726484,0.9479925363037615,0.9742640980724905,1.4115783186275266,1.2532843864319951,1.5975202464570597,NA,NA,NA
gs,wd,0.6172965074283415,0,0,5°C,0.9639827625549374,0.9494557875042989,0.9759413966696199,1.3278354791241687,1.1851597917706755,1.4865574834868185,NA,NA,NA
gs,wd,0.7107757722801896,0,0,5°C,0.9626830038626475,0.9342067696105769,0.9822134082051676,1.2637286792594358,1.0474314297077165,1.4956342258314959,NA,NA,NA
gs,wd,0.305,0,0,10°C,0.9412860307920213,0.8884944869179201,0.9757440963045576,1.7041179166133065,1.3224075618233009,2.1309652111909303,NA,NA,NA
gs,wd,0.3511871652224169,0,0,10°C,0.950171797418546,0.9247012117198309,0.9694544693617693,1.6370852255049573,1.4037531892044923,1.8807532106976774,NA,NA,NA
gs,wd,0.40436860661297414,0,0,10°C,0.9555490577504807,0.939770724625283,0.9681448156174371,1.5698631774882301,1.4188656005992064,1.7346617977108043,NA,NA,NA
gs,wd,0.4656034906929477,0,0,10°C,0.9595054949228156,0.9464001056210044,0.9699882614238805,1.4981435350231902,1.3707275252828814,1.6429311821140509,NA,NA,NA
gs,wd,0.5361113770954697,0,0,10°C,0.9628814813858864,0.9520814606781594,0.9718041219938038,1.4206878102121245,1.310243624885103,1.5391656073796363,NA,NA,NA
gs,wd,0.6172965074283415,0,0,10°C,0.9656841482329648,0.9557171686091257,0.9743431163712472,1.3388252853159281,1.2412635334915711,1.4429243071661042,NA,NA,NA
gs,wd,0.7107757722801896,0,0,10°C,0.9673447083794949,0.9512663180034042,0.9801431268201842,1.2558068028501839,1.1082758684746283,1.4097016083237248,NA,NA,NA
gs,wd,0.305,0,0,15°C,0.9399524882148713,0.8631962933866059,0.9823295973034323,1.4852098135617529,1.1248725991101187,1.907037672007497,NA,NA,NA
